match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,player_of_match,result,stage,player_of_match_name,toss_won_match,batting_first_won,team_batting_first,first_innings_won
335982,2008,6,Bangalore,2008-04-18,Indian Premier League,1,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,field,Kolkata Knight Riders,140.0,,46,win,League,BB McCullum,False,True,Kolkata Knight Riders,True
1082591,2017,6,Hyderabad,2017-04-05,Indian Premier League,1,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,35.0,,15,win,League,Yuvraj Singh,False,True,Sunrisers Hyderabad,True
1082592,2017,6,Pune,2017-04-06,Indian Premier League,2,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Rising Pune Supergiants,Mumbai Indians,field,Rising Pune Supergiants,,7.0,36,win,League,SPD Smith,True,False,Mumbai Indians,False
1082593,2017,6,Rajkot,2017-04-07,Indian Premier League,3,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,field,Kolkata Knight Riders,,10.0,57,win,League,CA Lynn,True,False,Gujarat Lions,False
1082594,2017,6,Indore,2017-04-08,Indian Premier League,4,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Punjab Kings,Punjab Kings,Rising Pune Supergiants,field,Punjab Kings,,6.0,71,win,League,GJ Maxwell,True,False,Rising Pune Supergiants,False
1082595,2017,6,Bengaluru,2017-04-08,Indian Premier League,5,male,T20,T20,20,2017,club,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,bat,Royal Challengers Bengaluru,15.0,,4,win,League,KM Jadhav,True,True,Royal Challengers Bengaluru,True
1082596,2017,6,Hyderabad,2017-04-09,Indian Premier League,6,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,field,Sunrisers Hyderabad,,9.0,22,win,League,Rashid Khan,True,False,Gujarat Lions,False
1082597,2017,6,Mumbai,2017-04-09,Indian Premier League,7,male,T20,T20,20,2017,club,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,,4.0,26,win,League,N Rana,True,False,Kolkata Knight Riders,False
1082598,2017,6,Indore,2017-04-10,Indian Premier League,8,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Punjab Kings,,8.0,70,win,League,AR Patel,False,True,Royal Challengers Bengaluru,False
1082599,2017,6,Pune,2017-04-11,Indian Premier League,9,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Rising Pune Supergiants,Delhi Capitals,field,Delhi Capitals,97.0,,180,win,League,SV Samson,False,True,Delhi Capitals,True
1082600,2017,6,Mumbai,2017-04-12,Indian Premier League,10,male,T20,T20,20,2017,club,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,,4.0,33,win,League,JJ Bumrah,True,False,Sunrisers Hyderabad,False
1082601,2017,6,Kolkata,2017-04-13,Indian Premier League,11,male,T20,T20,20,2017,club,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,,8.0,65,win,League,SP Narine,True,False,Punjab Kings,False
1082602,2017,6,Bangalore,2017-04-14,Indian Premier League,12,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,field,Mumbai Indians,,4.0,29,win,League,KA Pollard,True,False,Royal Challengers Bengaluru,False
1082603,2017,6,Rajkot,2017-04-14,Indian Premier League,13,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions,Rising Pune Supergiants,field,Gujarat Lions,,7.0,351,win,League,AJ Tye,True,False,Rising Pune Supergiants,False
